Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Mp3\Project Outputs for Mp3\Pick Place for FINAL_VERSION_MP3.csv

========================================================================================================================
File Design Information:

Date:       08-09-26
Time:       12:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"IC4","ESP32-WROOM-32UE-N4","TopLayer","ESP32WROOM32UEN4","77.2370mm","72.5360mm","180","Integrated Circuit"
"IC1","USBLC6-2SC6","TopLayer","SOT95P280X145-6N","85.5920mm","37.5990mm","90","Integrated Circuit"
"D7","","TopLayer","SMF_DO-219AB","90.4500mm","35.6770mm","0","TVS DIODE 5V 8.9V DO219AB"
"D6","Blue","TopLayer","LTST-C190TBKT-2_V","101.4950mm","46.0182mm","180","LED Uni-Color Blue, 76 mW, 20 mA, -20 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel"
"D5","RED","TopLayer","LED_KT-0603R","99.9022mm","47.9012mm","0","Red 0603 Light Emitting Diodes"
"C68","100nF","TopLayer","CAPC1005X55X25ML05T10","63.7000mm","51.4900mm","90",""
"C67","CL10A226MQ8NRNC","TopLayer","CAPC1608X100N","62.3000mm","51.1000mm","90","CL10 Series 22 uF 6.3 V Â±20 % Tolerance X5R SMT Multilayer Ceramic Capacitor"
"C66","1uF","TopLayer","FP-CL511-IPC_C","97.2786mm","88.1000mm","180","Cap Ceramic 1uF 10V X5R ±10% SMD 0402 +85°C Paper T/R"
"C65","1uF","TopLayer","FP-CL511-IPC_C","98.0000mm","93.9000mm","0","Cap Ceramic 1uF 10V X5R ±10% SMD 0402 +85°C Paper T/R"
"C64","10nF","TopLayer","CAPC1005X55X25LL05T05","103.9802mm","97.3328mm","90",""
"C62","47nF","TopLayer","FP-CL10-IPC_A","99.9998mm","111.3028mm","0","Cap Ceramic 47nF 50V X7R ±10% Pad SMD 0603 +125°C T/R"
"C61","1uF","TopLayer","FP-CL511-IPC_C","85.5000mm","88.8000mm","90","Cap Ceramic 1uF 10V X5R ±10% SMD 0402 +85°C Paper T/R"
"C60","1uF","TopLayer","FP-CL511-IPC_C","91.4000mm","88.3000mm","90","Cap Ceramic 1uF 10V X5R ±10% SMD 0402 +85°C Paper T/R"
"C59","1uF","TopLayer","FP-CL511-IPC_C","91.2786mm","51.3000mm","0","Cap Ceramic 1uF 10V X5R ±10% SMD 0402 +85°C Paper T/R"
"C58","1uF","TopLayer","FP-CL511-IPC_C","91.2000mm","57.1000mm","0","Cap Ceramic 1uF 10V X5R ±10% SMD 0402 +85°C Paper T/R"
"C57","1uF","TopLayer","FP-CL511-IPC_C","65.0786mm","36.4000mm","0","Cap Ceramic 1uF 10V X5R ±10% SMD 0402 +85°C Paper T/R"
"C56","100nF","TopLayer","CAPC1005X55X25ML05T10","88.6460mm","69.3240mm","90",""
"C55","33pF","TopLayer","FP-CL790-IPC_C","66.1000mm","96.0000mm","270","Cap Ceramic 33pF 50V C0G ±5% SMD 0402 +125°C Paper T/R"
"C54","33pF","TopLayer","FP-CL790-IPC_C","64.2000mm","103.1214mm","90","Cap Ceramic 33pF 50V C0G ±5% SMD 0402 +125°C Paper T/R"
"C53","1uF","TopLayer","FP-CL511-IPC_C","72.2214mm","36.5000mm","0","Cap Ceramic 1uF 10V X5R ±10% SMD 0402 +85°C Paper T/R"
"C52","100nF","TopLayer","CAPC1005X55X25ML05T10","71.2000mm","98.0900mm","90",""
"C51","100nF","TopLayer","CAPC1005X55X25ML05T10","71.2000mm","102.1100mm","270",""
"C50","100nF","TopLayer","CAPC1005X55X25ML05T10","77.8000mm","106.5000mm","270",""
"C49","10uF","TopLayer","FP-TAJA-MFG","67.7000mm","105.8000mm","0","10uF 16V  ±10% 3O 1206  SMD Tantalum Capacitor"
"C48","100nF","TopLayer","CAPC1005X55X25ML05T10","88.4040mm","44.3500mm","180",""
"C47","4u7","TopLayer","FP-CL282-IPC_C","88.2614mm","42.9530mm","0","Cap Ceramic 4.7uF 10V X5R ±20% SMD 0402 +85°C Paper T/R"
"C46","CL10A226MQ8NRNC","TopLayer","CAPC1608X100N","89.5390mm","64.0540mm","90","CL10 Series 22 uF 6.3 V Â±20 % Tolerance X5R SMT Multilayer Ceramic Capacitor"
"C45","100nF","TopLayer","CAPC1005X55X25ML05T10","88.2211mm","64.4418mm","90",""
"C44","100nF","TopLayer","CAPC1005X55X25ML05T10","85.1000mm","99.4000mm","180",""
"C43","100nF","TopLayer","CAPC1005X55X25ML05T10","85.1100mm","100.8000mm","180",""
"C42","100nF","TopLayer","CAPC1005X55X25ML05T10","83.5660mm","95.7580mm","90",""
"C41","10uF","TopLayer","FP-TAJA-MFG","91.1000mm","93.6000mm","90","10uF 16V  ±10% 3O 1206  SMD Tantalum Capacitor"
"C39","4u7","TopLayer","FP-CL282-IPC_C","96.6216mm","48.4124mm","0","Cap Ceramic 4.7uF 10V X5R ±20% SMD 0402 +85°C Paper T/R"
"C37","100nF","TopLayer","CAPC1005X55X25ML05T10","72.1000mm","95.0900mm","90",""
"C36","100nF","TopLayer","CAPC1005X55X25ML05T10","79.8262mm","105.5800mm","180",""
"C35","100nF","TopLayer","CAPC1005X55X25ML05T10","76.2000mm","105.5800mm","0",""
"C22","100nF","TopLayer","CAPC1005X55X25ML05T10","78.4000mm","92.8900mm","90",""
"C14","10uF","TopLayer","FP-TAJA-MFG","81.4000mm","89.4000mm","270","10uF 16V  ±10% 3O 1206  SMD Tantalum Capacitor"
"C2","1uF","TopLayer","FP-CL511-IPC_C","87.3000mm","99.7000mm","90","Cap Ceramic 1uF 10V X5R ±10% SMD 0402 +85°C Paper T/R"
"C1","100nF","TopLayer","CAPC1005X55X25ML05T10","82.4040mm","37.6682mm","0",""
